[10:13:39.3569][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.3880][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.4191][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.4505][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.4806][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.5115][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.5422][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.5726][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.6046][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.6361][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.6668][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.6986][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.7289][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.7598][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.7910][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.8214][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.8523][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.8831][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.9142][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.9454][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:39.9770][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:40.0072][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
[10:13:40.0378][ChannelA_Rx]Len:[11]HEX:68 65 6C 6C 6F 20 77 6F 72 6C 64 | ASCIIhello world
