[15:01:20.3932][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3952][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3962][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.3982][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4002][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4012][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4022][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4042][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4052][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4062][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4072][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4082][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4102][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4112][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4122][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4142][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4162][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4172][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4182][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4192][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4202][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4222][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4232][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4242][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4262][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4272][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4282][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4302][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4312][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4332][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4342][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4352][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4362][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4372][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4382][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4402][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4422][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
[15:01:20.4422][ChannelB_Rx]Len:[11]HEX:48 65 6C 6C 6F 20 57 6F 72 6C 64 | ASCIIHello World
